op_command,op_string,op_data_type,op_short_description,op_long_description,op_optional,op_in_out,op_group,op_postion,op_default_text,op_default_int
./Simbas.sh,-t ,filename,Template sequence,Template sequence to base reads upon.,,,,,,
./Simbas.sh,-p ,filename,phred distribution,File containing phred distribution for error parameters.,,,,,,
./Simbas.sh,-d ,int,depth,Depth of simulated sequence.,,,,,,
./Simbas.sh,-o ,string,out prefix,Output prefix for bax.h5 and fastq filenames.,,,,,,
./Simbas.sh,-h,,help,Help information.,,,,,,
./Simbas.sh,-v,,version,Show program version information.,,,,,,
